NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -∞
4.5219799892971047 -6.1877142983752238 -4.1200045640879015 2.8971225426370322 1.4176481513991317 -7.8635967789849639 7.7418414232913459 -5.0823312742748472 -1.8424195364260652 4.9699396991698794 -5.251444350569173 4.9353879281859525 47.012687904287667
-1.3039656262229096 -20.220958276703353 -13.07519962571123 -6.7564117150483609 5.62594930608424 7.4724525340648542 -2.5908215031116728 -2.6366085155321026 2.0133591637986621 6.1696695323541579 -3.2036777000103109 -9.9952931554551689 67.904264602269976
3.7551039976186633 -15.918640151838069 -11.2924584183317 -8.3174978472432528 0.55549339118772367 4.3760733940422964 -1.6014170944597694 -5.4295514508531912 8.07688395378849 4.1375052105608443 -7.7355602261488015 -11.67905168927031 74.248168566961084
4.8381586623369772 -12.346165312645264 -10.666001983711659 -11.822998798353074 -0.16242672694488963 4.155376395700964 2.7950395808774764 -5.2246139803380922 7.4732860606802261 2.487635668348827 -3.4114466321913497 -12.164607356807792 86.422463026520049
5.3508370846047617 -12.834575910244327 -12.816715962139446 -14.78831827529965 -3.3883953602529786 -4.1028282976462744 -1.8612637599382447 -7.8881967440440963 -0.15352632885492271 3.4773954840477712 -6.8052593102207259 -17.416636294598536 85.513013367344129
5.3563598661575771 -13.391786777473733 -11.320653480086692 -14.21723869062291 -3.6694191637135161 -6.1281119391350947 -1.9549267068672447 -7.7679964984281993 3.8841171266162373 3.7880308309363109 -7.5074428758076595 -16.520416465273914 86.916102141527517
6.4163410572274877 -11.433678601299421 -13.761491708724089 -15.450049188528938 -4.7924440745558883 -4.4208884329054454 -1.2492385931301051 -9.2850433089308559 1.8382633339474417 8.6055671454959715 -8.6220913347954919 -16.888403363605409 85.6464925171106
7.7892240601417644 -10.88991253287916 -13.298214861968882 -9.8656748699234171 -7.3332278619136213 -7.47537759160096 -4.3360495964823809 -10.86460335197102 4.7917437003899135 12.634734053392283 -4.0592351789825525 -16.52438086296678 84.25719579610471
8.1615811729637464 -10.405370331399938 -9.9207581141137542 -10.396330441419536 -12.238720504957794 -10.236887943702376 -12.253580067517587 -18.348835836379948 4.6199903212224127 8.43882323908702 -1.2239022667705162 -13.007627547499153 83.223269560517664
6.2092677760674215 -8.3608623305286862 -3.1165440758270058 -9.20927980692746 -9.0289722925083389 -5.40728461450756 -16.222411462315996 -22.371236008421555 2.0418303305405008 8.3883138502436925 2.7486107269331606 -14.63503293496356 82.610142652695515
5.9743492318117051 -8.614813580180261 -3.8650127100232883 -8.5405509196544163 -8.1829171920552763 -7.5361385318811793 -17.516548572854298 -14.776874078807802 -1.0851407095049916 0.072398636910470646 2.5002370206122961 -10.916729998616947 82.633353255080763
5.5098781677140405 -11.023234422769995 -1.9114843649201145 -7.5042905788690115 -7.3176572280246495 -7.8170095928999093 -16.087482852588174 -17.895150785342114 0.16358798556773776 4.1289720463020929 5.7257330581967283 -15.596752747164029 85.236786388840429
5.52402922538563 -13.344971931289002 -6.8833170062780109 -9.6421967901128358 -17.565276879315348 -15.854663244699491 -12.003817928543221 -12.384601498934703 8.70015345034709 6.6474622889770361 4.4565299352298657 -19.106484212138046 86.5733750311198
6.6803653245370516 -11.691308739627523 -9.6423075339163944 -4.4841262870117236 -16.639783705236379 -22.782863801526531 -9.6316913456736533 -9.5906735527188545 7.8846785238379393 7.9047862929149106 1.7892305645028763 -20.305291852854236 85.732300337857211
6.7304894247638707 -10.495628093670311 -9.8291832549307827 -4.2059250501597134 -14.170521635901144 -23.31566296678001 -7.9846752972688861 -3.3934964042464868 6.0207131429221441 10.641760233971919 4.0001488589196921 -16.714084763455336 85.182707592097159
6.8350993895243848 -13.109346743852162 -9.71278824705597 -6.393925513974847 -16.973467255883364 -24.90619616743496 -6.2542993368445172 -2.6038343037336 7.8253318100473184 7.821817370043374 0.3291600457511713 -11.841653491265351 84.876840426429538
5.4382755996240082 -12.827260523040668 -9.6964620735083145 -6.8360267260858407 -17.793431238454477 -24.683243046492031 -6.4783576546609716 -0.70184126316010242 7.2620437667296613 4.6745405594195493 1.6259937369239461 -12.009992453231087 84.644728179753514
1.4689443212489752 -9.6573404285833782 -10.798908074788157 -5.6951322978688887 -17.404245081272126 -20.412657443056911 -7.9865804951071606 0.35356027513488225 6.8508546946067606 0.80049695247066222 1.0429358234739443 -7.2141552572022052 87.268229602139868
6.2957513368915246 -15.259526386117688 -9.8260994461664772 -5.8534837343097674 -18.876091313966924 -23.629379120282675 -7.0111996829377539 -0.2374165695263149 10.339303439218876 -0.10312260135937475 0.31129121892389211 -6.368828960056498 83.846991961646438
6.1994121536885105 -14.345054119729248 -10.65959815428136 -5.2855140452936995 -18.436541034008389 -21.337128192855246 -8.7534521671704226 0.21594189317919793 12.199009917894188 2.8579458338697488 1.423359598338696 -2.4766414381945232 83.2772431182137
7.152142343153117 -13.470849691515637 -8.8370228939225832 -4.2793233867061335 -18.22677995284322 -25.517496052251694 -11.087989965636865 1.0144708133591351 10.76595935874167 0.4328889600897658 3.27435934461304 -3.1790146731814133 82.8249569954463
7.0682170526201045 -12.327107281422608 -11.31262106116942 -0.86932924360809516 -20.005383018807958 -27.629427831750064 -11.103976287294715 -7.1136071609419753 3.6799782271160413 -3.2636963388495137 5.2899199926268157 -3.03367734821484 82.43974655952691
6.842074324115 -12.247833963982639 -8.784989200609072 -1.1362077567012097 -12.532813072007711 -24.438471493674694 -13.779970835204796 -4.1763319954680123 3.9283772183561667 -6.4243668382598074 10.114893485335513 -5.037111326528759 83.565174444867125
6.7889826787757 -13.739812940768616 -8.9045315391757871 -2.6388941347239863 -12.983871290226807 -21.7393201007765 -17.778760730112374 -5.8590111807181371 2.6358213131969972 -8.8427564951908657 10.300255113483425 -9.03541639094559 83.708091390268649
6.3511393827512537 -13.261410294210302 -5.6791200926835907 -1.6017976038306347 -10.590522950239873 -22.993439597125267 -20.675965594514896 -9.5600423941556372 1.5899142569990721 -3.5627825676536005 7.9116873822065585 -6.4304754459650182 83.593459967594981
6.46643372761247 -13.152526011517086 -3.2849406500899527 -2.0424264083912895 -9.3866174305043 -18.501263511065595 -21.951647741045953 -8.9632969020035311 -0.019759343279556418 -10.432859850181014 9.2240263339815058 -7.7424137546867993 84.255067504266023
5.23047502566863 -12.527248873943847 -1.3704065899163644 -2.2237700468759756 -9.3436018453988066 -22.001757906612589 -25.242578700512272 -3.1387642980683048 -1.0380768815501531 -13.097771894217306 11.907923053435645 -4.9702140444332867 85.133805183112074
3.8540683771993431 -11.175619650522204 0.13741220072138904 -0.48506784411426723 -9.627358451973123 -23.855235702455015 -23.041813293032337 0.087305838553407 -2.1883608871280753 -20.398594492114789 11.807313695887931 -3.6682938708366164 85.237224859430214
1.3780865555909594 -12.353501282375909 4.0370008842826248 2.3827917952373046 -12.968704656460753 -25.463910955174995 -20.127909250643771 -2.1873916201169594 -6.936686723894903 -28.5128987465467 7.0003868899806037 -0.98177955468671774 84.748982340531157
0.44664692322406263 -10.535318772687583 8.65691562528953 4.3241788035708346 -10.604171099004613 -24.20959555462494 -16.813441711686206 -6.47191691175904 -13.220972592146467 -24.936782668466513 10.036399682822868 2.3787017888195674 84.719688994763089
0.98197816512246394 -9.8560371135089557 7.2460376468611312 3.9854662943378489 -15.195245055243701 -25.584406359353903 -19.290261564793322 -5.0723889021593109 -7.7547848079320589 -22.353871978460724 12.178593883585657 0.82357181135495283 84.858888417837349
2.5702792536835015 -7.9425974066315224 4.7000317649742875 2.8863747242069442 -17.8124078448399 -27.992004030696176 -18.843100060695004 0.80394924786746735 -5.0625348423346948 -20.6466943879219 7.3990777215110679 1.5136701249462563 84.451488932536179
4.9798623641542079 -8.94710688421374 1.7642172937391583 0.16545648718632017 -11.014859540582789 -24.38736427160919 -23.909566812662632 -2.622359391773661 -0.153420049736592 -15.311663660501187 4.5637083637392291 2.5112889757225787 84.242004732717689
